"type","indicator","classification","source","notes","references"
"domain","xrp2x-double.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp-promotion.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp-info.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp-give23.xyz","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp-foundation.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp-finance.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","x2years.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","x2twitter.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","x2crash.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","weripple.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","twit-usd.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tweetmusk.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tslaonline.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tslanow.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tsl2x.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslaus-event.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslatv.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslatake2023.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslaq3.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslaq3.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslapromotion.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslapromotion.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslapromo.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslapromo-2023.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslapromo-2023.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslaone.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslaofficial.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslamusk-promo.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslalife.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslainc2023.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslagives2023.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslafinance-promo.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslaevent23.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslaevent-promo.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesladouble.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslacrypto2023.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslacrash.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslacoins2023.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslacashyt.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslacashyt.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslacash2023.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","teslabonus23.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla23bonus.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-pump.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-promotion.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-now.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-motors.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-life.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-give22.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-eventx2.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-elonx2.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-double23.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-bonus23.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tesla-airdrop.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tatehustlers.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tatedouble.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tatebonus.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","tate6ix9ine.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","spacexlaunch.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","spacex23.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","spacex-mission.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","space22give.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","space2022x.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","space-strarlink.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","rippleglobal-event.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","rippledouble.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","ripple-money.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","ripple-live.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","qrmusk.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","promotion-x2.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","promo-xrp2022.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","promo-tesla.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","promo-musk.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","promo-musk.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","prizetesla.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","news-tesla.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","muskevents.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","muskevent.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","musk-pump.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","musk-promotion.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","musk-prize.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","musk-get-x2.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","musk-foundation.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","misson-live.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","ltcpromo.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","liketesla.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","invest-elon.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","grew4tesla.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","gifts-tesla.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","get-x2bonus.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","geminiearn.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","ftxbinance.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","freetate23.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","foundation-tesla.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","forbesbtc.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","finance-xrp.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","ethereum-rise.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","ethereum-promotion.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","eth2x-info.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elonusa.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elonus.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elonshare.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elonmuskevent.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elonmuskcash.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elondrop22.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elonark22.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elon-promotion.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elon-investx2.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elon-gets.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elon-gets.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","elon-gets.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","e-musk.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","draketesla.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","dot-pump.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","cryptobottemplates.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","crypto-tesla.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","cryptgive23.xyz","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","crew5tesla.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","crash-tesla.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","cathie-live.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","cashtesla2023.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","buterin2x.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","buterin-promo.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","bonustesla.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","bonus-xrp.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","bonus-xrp.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","arkspace.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","arkgives2022.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","ark22double.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","airdrop-xrp.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","airdrop-ripple.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","2x-tsla.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","22tesla.io","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","22spacex.space","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","2023-tesla.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","2023-ripple.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrpfinance-live.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrpdouble-promotion.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrpdouble-promo.info","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp2x-prize.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp-bonus2022.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp-airdrop.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp-airdrop.com","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","promotion-prize.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","promo-prize.live","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrpfinance-promotion.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrpevent-promotion.org","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
"domain","xrp-doubled.net","malicious","infoblox","Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk from registrant organization CryptDesignBot.",""
